track_name,artist_name,year,name,playcount,listeners,genres,artist_popularity,album_name,release_date,duration_ms,track_listeners,ranking_year,track_weight_in_artist,true_rank
BONVOYAGE,Dreamcatcher,2023,Dreamcatcher,79061004,557395,"['k-pop', 'rock', 'Korean', 'k-rock', 'Kpop']",79061004,[Apocalypse : From us],N/A,213000.0,91224.0,2023,16.36613173781609,159
Poppin' Love,WayV,2023,WayV,42640811,537466,"['C-pop', 'NCT', 'k-pop', 'chinese', 'cpop']",42640811,N/A,N/A,185000.0,89038.0,2023,16.56625721440984,160
In Spite of War,Yves Tumor,2023,Yves Tumor,47362161,1036866,"['Neo-Psychedelia', 'ambient', 'experimental', 'hypnagogic pop', 'art rock']",47362161,Praise A Lord Who Chews But Which Does Not Consume; (Or Simply: Hot Between Worlds),N/A,151000.0,84728.0,2023,8.171547721692098,161
The Painter,Cody Johnson,2023,Cody Johnson,8855552,262164,"['country', 'USA', 'texas', 'United States', 'american']",8855552,The Painter,N/A,211000.0,80149.0,2023,30.572084649303488,162
You Only Love Me,Rita Ora,2023,Rita Ora,28708778,1321646,"['pop', 'dance', 'female vocalists', 'rnb', 'british']",28708778,You Only Love Me,N/A,148000.0,79176.0,2023,5.990711582375311,163
ARRIBA,ATEEZ,2023,ATEEZ,210298311,789322,"['k-pop', 'Korean', 'Kpop', 'pop', 'boy group']",210298311,THE WORLD EP.FIN : WILL,N/A,217000.0,79042.0,2023,10.013910672703915,164
Younger & Dumber,Indigo De Souza,2023,Indigo De Souza,21320316,662043,"['indie rock', 'indie pop', 'singer-songwriter', 'indie', 'North Carolina']",21320316,Younger & Dumber,N/A,279000.0,75760.0,2023,11.443365461155846,165
Beam,tripleS,2023,tripleS,62356708,418875,[],62356708,ASSEMBLE,N/A,159000.0,72915.0,2023,17.407341092211283,166
Girls’ Capitalism,tripleS,2023,tripleS,62356708,418875,[],62356708,LOVElution <ↀ>,N/A,218000.0,72258.0,2023,17.250492390331246,167
Violet Crazy,DPR IAN,2023,DPR IAN,51315547,636640,"['Korean', 'rnb', 'live', 'k-rnb', 'pop']",51315547,Dear Insanity...,N/A,188000.0,68748.0,2023,10.798567479266147,168
Heart Wants What It Wants,Bebe Rexha,2023,Bebe Rexha,37160436,1434248,"['pop', 'female vocalists', 'electronic', 'singer-songwriter', 'alternative']",37160436,Heart Wants What It Wants,N/A,182000.0,68091.0,2023,4.7475053128887055,169
Take My Hand,ZEROBASEONE,2023,ZEROBASEONE,55829053,319434,"['k-pop', 'Kpop', 'Hanbin da lizii', 'Korean', 'boys planet']",55829053,MELTING POINT,N/A,215000.0,66296.0,2023,20.75420900718145,170
The Teacher,Foo Fighters,2023,Foo Fighters,359676961,6313148,"['rock', 'alternative rock', 'Grunge', 'alternative', 'hard rock']",359676961,But Here We Are,N/A,604000.0,66163.0,2023,1.048019149875783,171
American Daughter,Beach House,2023,Beach House,240496296,3473201,"['dream pop', 'indie pop', 'indie', 'Lo-Fi', 'Dreamy']",240496296,Become,N/A,255000.0,66111.0,2023,1.9034602374005998,172
Cherry Talk,tripleS,2023,tripleS,62356708,418875,[],62356708,+(KR)ystal Eyes <AESTHETIC>,N/A,171000.0,63977.0,2023,15.273530289465832,173
Invincible,tripleS,2023,tripleS,62356708,418875,[],62356708,EVOLution <⟡>,N/A,197000.0,60842.0,2023,14.525096985974336,174
Behind The Curtain,MISAMO,2023,MISAMO,18378221,333438,"['j-pop', 'japanese', 'twice', 'sana', 'mina']",18378221,MISAMO,N/A,178000.0,60832.0,2023,18.243871424372745,175
MACARONI CHEESE,YOUNG POSSE,2023,YOUNG POSSE,7197289,167651,"['k-pop', 'Korean', 'Hip-Hop', 'Kpop', 'DSP Media']",7197289,MACARONI CHEESE,N/A,145000.0,59352.0,2023,35.40211510817114,176
Become,Beach House,2023,Beach House,240496296,3473201,"['dream pop', 'indie pop', 'indie', 'Lo-Fi', 'Dreamy']",240496296,Become,N/A,358000.0,58164.0,2023,1.674651135940592,177
Nothing Left To Lose,Everything But the Girl,2023,Everything But the Girl,23673330,1418862,"['electronic', 'trip-hop', 'chillout', 'female vocalists', 'electronica']",23673330,Fuse,N/A,224000.0,57010.0,2023,4.018008798600568,178
Video Game,HeeJin,2023,HeeJin,5180379,102539,"['Loona', 'Korean', 'artms', 'k-pop', 'Kpop']",5180379,<K>,N/A,187000.0,56631.0,2023,55.22874223466193,179
When I Get There,P!nk,2023,P!nk,122141424,3731132,"['pop', 'pop rock', 'female vocalists', 'rock', 'female']",122141424,TRUSTFALL [Clean],N/A,200000.0,55980.0,2023,1.500348955759271,180
Regret It,Exo,2023,Exo,165379088,1033112,"['k-pop', 'exo', 'Korean', 'Kpop', 'exo-k']",165379088,EXIST,N/A,175000.0,55531.0,2023,5.375119057759468,181
Like We Just Met,NCT DREAM,2023,NCT DREAM,113091553,673600,"['k-pop', 'Korean', 'NCT', 'pop', 'nct dream']",113091553,INFJ,N/A,210000.0,53792.0,2023,7.985748218527316,182
We Go,aespa,2023,aespa,261579027,1296200,"['k-pop', 'Kpop', 'Korean', 'pop', 'hyperpop']",261579027,포켓몬스터 (2023),N/A,188000.0,52261.0,2023,4.031862366918686,183
POSSE UP!,YOUNG POSSE,2023,YOUNG POSSE,7197289,167651,"['k-pop', 'Korean', 'Hip-Hop', 'Kpop', 'DSP Media']",7197289,MACARONI CHEESE,N/A,138000.0,48473.0,2023,28.913039588192134,184
Groovy,CRAVITY,2023,CRAVITY,12706890,166640,"['k-pop', 'Kpop', 'Korean', 'pop', 'Hip-Hop']",12706890,MASTER : PIECE,N/A,202000.0,42489.0,2023,25.497479596735477,185
Midnight Dreams,Ellie Goulding,2023,Ellie Goulding,150866337,3907039,"['electronic', 'female vocalists', 'british', 'indie', 'indie pop']",150866337,Higher Than Heaven (Deluxe) [Clean],N/A,193000.0,40291.0,2023,1.031241305756098,186
Addiction,HeeJin,2023,HeeJin,5180379,102539,"['Loona', 'Korean', 'artms', 'k-pop', 'Kpop']",5180379,K,N/A,159000.0,39929.0,2023,38.940305639805345,187
Rhodanthe,tripleS,2023,tripleS,62356708,418875,[],62356708,EVOLution <⟡>,N/A,227000.0,37746.0,2023,9.011280214861236,188
Above Me,Leisure,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,Above Me,N/A,214000.0,35028.0,2023,6.816403893531149,189
toxic,Noname,2023,Noname,17797848,572338,"['Hip-Hop', 'rap', 'hip hop', 'Ghetto Sage', 'jazz rap']",17797848,Sundial,N/A,194000.0,33953.0,2023,5.932333690930883,190
The Hype,Sigrid,2023,Sigrid,20803710,653738,"['pop', 'norwegian', 'synthpop', 'electropop', 'electronic']",20803710,The Hype,N/A,214000.0,28733.0,2023,4.395185838975247,191
Back In Love,Leisure,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,Back In Love,N/A,281000.0,24561.0,2023,4.779539112396328,192
OTB,YOUNG POSSE,2023,YOUNG POSSE,7197289,167651,"['k-pop', 'Korean', 'Hip-Hop', 'Kpop', 'DSP Media']",7197289,MACARONI CHEESE,N/A,168000.0,23253.0,2023,13.86988446236527,193
jamcod,The Jesus and Mary Chain,2023,The Jesus and Mary Chain,40001881,1316379,"['shoegaze', 'post-punk', 'alternative', 'indie', 'rock']",40001881,jamcod,N/A,237000.0,22649.0,2023,1.7205531233786013,194
